"subject_id","trial_id","expertise","congruity","reaction_time","is_correct","word","sound","word_label"
"1",1,"Non-musician","congruent",901.4,TRUE,"Pos","Pos","Pos_1"
"1",2,"Non-musician","congruent",905.5,TRUE,"Pos","Pos","Pos_2"
"1",3,"Non-musician","incongruent",946.7,FALSE,"Pos","Neg","Pos_3"
"1",4,"Non-musician","congruent",957.6,TRUE,"Pos","Pos","Pos_4"
"1",5,"Non-musician","congruent",946.3,TRUE,"Pos","Pos","Pos_5"
"1",6,"Non-musician","congruent",951.1,TRUE,"Pos","Pos","Pos_6"
"1",7,"Non-musician","congruent",922.8,TRUE,"Pos","Pos","Pos_7"
"1",8,"Non-musician","congruent",904.8,TRUE,"Pos","Pos","Pos_8"
"1",9,"Non-musician","congruent",842.8,TRUE,"Neg","Neg","Neg_1"
"1",10,"Non-musician","incongruent",965.4,FALSE,"Neg","Pos","Neg_2"
"1",11,"Non-musician","congruent",921.2,TRUE,"Neg","Neg","Neg_3"
"1",12,"Non-musician","congruent",832,FALSE,"Neg","Neg","Neg_4"
"1",13,"Non-musician","incongruent",958.5,TRUE,"Neg","Pos","Neg_5"
"1",14,"Non-musician","incongruent",930.2,TRUE,"Neg","Pos","Neg_6"
"1",15,"Non-musician","congruent",926.3,TRUE,"Neg","Neg","Neg_7"
"1",16,"Non-musician","incongruent",923.5,FALSE,"Neg","Pos","Neg_8"
"1",17,"Non-musician","incongruent",973,FALSE,"Pos","Neg","Pos_1"
"1",18,"Non-musician","incongruent",902.4,FALSE,"Pos","Neg","Pos_2"
"1",19,"Non-musician","incongruent",1007,TRUE,"Pos","Neg","Pos_3"
"1",20,"Non-musician","incongruent",879.5,TRUE,"Pos","Neg","Pos_4"
"1",21,"Non-musician","incongruent",843.2,TRUE,"Pos","Neg","Pos_5"
"1",22,"Non-musician","congruent",931.8,FALSE,"Pos","Pos","Pos_6"
"1",23,"Non-musician","incongruent",974,TRUE,"Pos","Neg","Pos_7"
"1",24,"Non-musician","congruent",1001.7,TRUE,"Pos","Pos","Pos_8"
"1",25,"Non-musician","incongruent",930.8,TRUE,"Neg","Pos","Neg_1"
"1",26,"Non-musician","congruent",895.3,TRUE,"Neg","Neg","Neg_2"
"1",27,"Non-musician","incongruent",939,TRUE,"Neg","Pos","Neg_3"
"1",28,"Non-musician","congruent",892.4,TRUE,"Neg","Neg","Neg_4"
"1",29,"Non-musician","incongruent",920.4,TRUE,"Neg","Pos","Neg_5"
"1",30,"Non-musician","congruent",882.2,TRUE,"Neg","Neg","Neg_6"
"1",31,"Non-musician","congruent",1030.8,TRUE,"Neg","Neg","Neg_7"
"1",32,"Non-musician","incongruent",939.5,TRUE,"Neg","Pos","Neg_8"
"1",33,"Non-musician","congruent",823.4,TRUE,"Pos","Pos","Pos_1"
"1",34,"Non-musician","incongruent",876.4,TRUE,"Pos","Neg","Pos_2"
"1",35,"Non-musician","congruent",881,TRUE,"Pos","Pos","Pos_3"
"1",36,"Non-musician","congruent",786.3,TRUE,"Pos","Pos","Pos_4"
"1",37,"Non-musician","congruent",890.1,TRUE,"Pos","Pos","Pos_5"
"1",38,"Non-musician","congruent",874.5,TRUE,"Pos","Pos","Pos_6"
"1",39,"Non-musician","congruent",942.9,FALSE,"Pos","Pos","Pos_7"
"1",40,"Non-musician","congruent",854.4,TRUE,"Pos","Pos","Pos_8"
"1",41,"Non-musician","congruent",950.6,TRUE,"Neg","Neg","Neg_1"
"1",42,"Non-musician","congruent",898.8,TRUE,"Neg","Neg","Neg_2"
"1",43,"Non-musician","incongruent",888.7,TRUE,"Neg","Pos","Neg_3"
"1",44,"Non-musician","congruent",885.5,TRUE,"Neg","Neg","Neg_4"
"1",45,"Non-musician","congruent",966.3,TRUE,"Neg","Neg","Neg_5"
"1",46,"Non-musician","congruent",879.6,TRUE,"Neg","Neg","Neg_6"
"1",47,"Non-musician","congruent",842.9,TRUE,"Neg","Neg","Neg_7"
"1",48,"Non-musician","incongruent",855,FALSE,"Neg","Pos","Neg_8"
"1",49,"Non-musician","congruent",883.2,TRUE,"Pos","Pos","Pos_1"
"1",50,"Non-musician","incongruent",864.3,TRUE,"Pos","Neg","Pos_2"
"1",51,"Non-musician","incongruent",897.4,TRUE,"Pos","Neg","Pos_3"
"1",52,"Non-musician","incongruent",987,TRUE,"Pos","Neg","Pos_4"
"1",53,"Non-musician","congruent",827.6,TRUE,"Pos","Pos","Pos_5"
"1",54,"Non-musician","incongruent",916,FALSE,"Pos","Neg","Pos_6"
"1",55,"Non-musician","congruent",23.6469968524761,TRUE,"Pos","Pos","Pos_7"
"1",56,"Non-musician","congruent",932,TRUE,"Pos","Pos","Pos_8"
"1",57,"Non-musician","incongruent",970.3,TRUE,"Neg","Pos","Neg_1"
"1",58,"Non-musician","congruent",943.2,TRUE,"Neg","Neg","Neg_2"
"1",59,"Non-musician","congruent",982.5,TRUE,"Neg","Neg","Neg_3"
"1",60,"Non-musician","incongruent",914.5,TRUE,"Neg","Pos","Neg_4"
"1",61,"Non-musician","incongruent",977.7,TRUE,"Neg","Pos","Neg_5"
"1",62,"Non-musician","congruent",900.9,TRUE,"Neg","Neg","Neg_6"
"1",63,"Non-musician","congruent",866.5,TRUE,"Neg","Neg","Neg_7"
"1",64,"Non-musician","incongruent",947.3,TRUE,"Neg","Pos","Neg_8"
"2",1,"Musician","congruent",756.4,TRUE,"Pos","Pos","Pos_1"
"2",2,"Musician","congruent",865.4,TRUE,"Pos","Pos","Pos_2"
"2",3,"Musician","congruent",832.6,TRUE,"Pos","Pos","Pos_3"
"2",4,"Musician","incongruent",761,TRUE,"Pos","Neg","Pos_4"
"2",5,"Musician","incongruent",873.5,TRUE,"Pos","Neg","Pos_5"
"2",6,"Musician","congruent",784.8,TRUE,"Pos","Pos","Pos_6"
"2",7,"Musician","congruent",768.1,TRUE,"Pos","Pos","Pos_7"
"2",8,"Musician","congruent",720.1,TRUE,"Pos","Pos","Pos_8"
"2",9,"Musician","incongruent",782.8,TRUE,"Neg","Pos","Neg_1"
"2",10,"Musician","incongruent",772.6,TRUE,"Neg","Pos","Neg_2"
"2",11,"Musician","incongruent",810.9,TRUE,"Neg","Pos","Neg_3"
